Date;Number;Вид операции;Сумма;Получатель;Автор;Комментарий
12/19/2023 1:46:54 PM;БЦК00000782;Оплата поставщику;469 380,00;Лидер -Металл ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № Т-27292 от 19.12.2023 
12/20/2023 9:03:11 AM;БЦК00000783;Перечисление пенсионных взносов;73 008,00;НАО Государственная корпорация Правительство ;Бухгалтер Струнина Н.Б.;ОПВ за ноябрь 2023 
12/20/2023 9:04:25 AM;БЦК00000784;Перечисление пенсионных взносов;19 000,00;НАО Государственная корпорация Правительство ;Бухгалтер Струнина Н.Б.;ОПВ ГПХ за ноябрь 2023 
12/20/2023 9:05:42 AM;БЦК00000785;Перечисление взносов и отчислений соц. страхования;25 841,00;НАО Государственная корпорация Правительство ;Бухгалтер Струнина Н.Б.;СО за ноябрь 2023 
12/20/2023 9:06:17 AM;БЦК00000786;Перечисление взносов и отчислений соц. страхования;14 602,00;НАО Государственная корпорация Правительство ;Бухгалтер Струнина Н.Б.;ВОСМС за ноябрь 2023 
12/20/2023 9:06:45 AM;БЦК00000787;Перечисление взносов и отчислений соц. страхования;21 902,00;НАО Государственная корпорация Правительство ;Бухгалтер Струнина Н.Б.;ОСМС за ноябрь 2023 
12/20/2023 9:07:14 AM;БЦК00000788;Перечисление взносов и отчислений соц. страхования;2 400,00;НАО Государственная корпорация Правительство ;Бухгалтер Струнина Н.Б.;ВОСМС ГПХ за ноябрь 2023 
12/20/2023 9:18:43 AM;БЦК00000789;Перечисление налога;51 176,00;РГУ УГД по Жетысускому  району;Бухгалтер Струнина Н.Б.;ИПН 34316  ГПХ 16860  ноябрь  2023 
12/20/2023 9:19:36 AM;БЦК00000790;Перечисление налога;37 692,00;РГУ УГД по Жетысускому  району;Бухгалтер Струнина Н.Б.;СН за  ноябрь   2023 
12/20/2023 4:07:25 PM;БЦК00000791;Расчеты по кредитам и займам с контрагентами;1 055 509,62;"АО ""БЦК """;Бухгалтер Струнина Н.Б.;погашение основного долга по кредиту
12/20/2023 4:07:26 PM;БЦК00000792;Расчеты по кредитам и займам с контрагентами;533 770,38;"АО ""БЦК """;Бухгалтер Струнина Н.Б.;выплачено вознаграждение по займу
12/20/2023 4:07:27 PM;БЦК00000793;Оплата поставщику;609 000,00;ИП Друзенко;Бухгалтер Струнина Н.Б.;
12/20/2023 5:00:03 PM;БЦК00000801;Оплата поставщику;8 800,00;Almatherm Jetisu ИП ;Менеджер;Счет на оплату №10302013116 от 20.12.23023
12/21/2023 10:13:25 AM;БЦК00000794;Оплата поставщику;6 918,00;NEOSTRIM ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № 7829 от 20.12.2023 
12/21/2023 10:13:26 AM;БЦК00000795;Оплата поставщику;200 000,00;Инжиниринг Пром Таль ИП ;Бухгалтер Струнина Н.Б.;Счет на оплату № 0004 от 21.12.2023 
